Department /Ministry,Fund allotted(in crores)
MINISTRY OF AGRICULTURE,124531.19
DEPARTMENT OF ATOMIC ENERGY,16725
"MINISTRY OF AYURVEDA, YOGA",2760.3
MINISTRY OF CHEMICALS AND FERTILISER,80714.94
MINISTRY OF CIVIL AVIATION,3797.67
MINISTRY OF COAL,882
MINISTRY OF COMMERCE AND INDUSTRY,27300
MINISTRY OF COMMUNICATION,66432
MINISTRY OF CONSUMER AFFAIRS,122235
MINISTRY OF CORPORATE AFFAIRS,576
MINISTRY OF CULTURE,1042.62
MINISTRY OF DEFENCE,471378
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1500
MINISTRY OF EARTH SCIENCES,1300
MINISTRY OF EDUCATION,85089
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,9220.66
"MINISTRY OF ENVIRONMENT, FOREST",3100
MINISTRY OF EXTERNAL AFFAIRS,17300
MINISTRY OF FINANCE,1276273.3
"MINISTRY OF FISHERIES, ANIMAL HUSBANDRY",4322.82
MINISTRY OF FOOD PROCESSING INDUSTRIES,1208.66
MINISTRY OF HEALTH AND FAMILY WELFARE,77231.77
MINISTRY OF HEAVY INDUSTRIES,917.08
MINISTRY OF HOME AFFAIRS,156546.94
MINISTRY OF HOUSING AND URBAN AFFAIRS,60581
MINISTRY OF INFORMATION AND BROADCASTING,4671.23
MINISTRY OF JAL SHAKTI,60053.02
MINISTRY OF LABOUR AND EMPLOYMENT,12306.5
MINISTRY OF LAW AND JUSTICE,3529.94
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",16099.65
MINISTRY OF MINES,1066.82
MINISTRY OF MINORITY AFFAIR,4410.77
MINISTRY OF NEW AND RENEWABLE ENERGY,4853
MINISTRY OF PANCHAYATI RAJ,813.43
MINISTRY OF PARLIAMENTARY AFFAIRS,55.07
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES",2597.24
MINISTRY OF PETROLEUM AND NATURAL GAS,14943.78
MINISTRY OF PLANNING,1562.77
"MINISTRY OF PORTS, SHIPPING",1202.35
MINISTRY OF POWER,18322
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",1987.57
MINISTRY OF RAILWAYS,120054.64
MINISTRY OF ROAD TRANSPORT AND HIGHWAY,108101
MINISTRY OF RURAL DEVELOPMENT,123689.5
MINISTRY OF SCIENCE AND TECHNOLOGY,15794.03
MINISTRY OF SKILL DEVELOPMENT,2985.23
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,10689.39
DEPARMENT OF SPACE,14949.09
MINISTRY OF STATISTICS,1909.13
MINISTRY OF STEEL,23.25
MINISTRY OF TEXTILES,3851.64
MINISTRY OF TOURISM,1226.77
MINISTRY OF TRIBAL AFFAIRS,7524.87
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,22435
MINISTRY OF YOUTH AFFAIRS AND SPORTS,2196.14
,
GRAND TOTAL,3196870.77
